2016-01-20 11:57:17,713 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=23, rmse=0.2758166084, rho=0.2182710753, pval=0.0000000000, mse=0.0760748015, mae=0.1891210243
2016-01-20 11:58:41,818 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=24, rmse=0.2629087744, rho=0.2281341212, pval=0.0000000000, mse=0.0691210237, mae=0.1780417934
2016-01-20 12:00:04,980 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=25, rmse=0.2767020256, rho=0.2507241871, pval=0.0000000000, mse=0.0765640110, mae=0.1886922279
2016-01-20 12:01:28,238 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=26, rmse=0.2816185871, rho=0.2253853366, pval=0.0000000000, mse=0.0793090286, mae=0.1925968340
2016-01-20 12:02:50,748 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=27, rmse=0.2788999527, rho=0.2472338071, pval=0.0000000000, mse=0.0777851836, mae=0.1915853185
2016-01-20 12:04:14,207 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=28, rmse=0.2743988400, rho=0.2714689895, pval=0.0000000000, mse=0.0752947234, mae=0.1867831623
2016-01-20 12:05:37,423 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=29, rmse=0.2741124974, rho=0.2298963173, pval=0.0000000000, mse=0.0751376613, mae=0.1870620286
2016-01-20 12:07:01,144 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=30, rmse=0.2647708831, rho=0.2205221963, pval=0.0000000000, mse=0.0701036206, mae=0.1796441728
2016-01-20 12:08:25,350 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=31, rmse=0.2688403991, rho=0.2296462966, pval=0.0000000000, mse=0.0722751602, mae=0.1819240814
2016-01-20 12:09:49,110 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=32, rmse=0.2726565717, rho=0.2435620415, pval=0.0000000000, mse=0.0743416061, mae=0.1835007900
2016-01-20 12:11:12,290 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=33, rmse=0.2692009804, rho=0.2275838799, pval=0.0000000000, mse=0.0724691679, mae=0.1824402353
2016-01-20 12:12:35,453 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=34, rmse=0.2674184138, rho=0.2714600385, pval=0.0000000000, mse=0.0715126081, mae=0.1838577522
2016-01-20 12:13:58,842 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=35, rmse=0.2656517399, rho=0.2372087060, pval=0.0000000000, mse=0.0705708469, mae=0.1805450218
2016-01-20 12:15:22,327 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=36, rmse=0.2721094892, rho=0.2052790520, pval=0.0000000000, mse=0.0740435741, mae=0.1838894938
